ts,t_min,ordinals,sources,ordinals_per_source,windows_per_source,ms,us_per_ordinal
2026-08-24 07:23:57,29.1,4054781,4,1013695,0.97,2747,0.68
2026-08-24 07:31:42,36.9,4025041,4,1006260,0.96,2584,0.64
2026-08-24 07:39:47,45.0,3968733,4,992183,0.95,2862,0.72
2026-08-24 07:48:14,53.4,3967478,4,991870,0.95,2738,0.69
2026-08-24 07:56:43,61.9,3966227,4,991557,0.95,2749,0.69
2026-08-24 07:58:34,63.7,16016033,4,4004008,3.82,67368,4.21
2026-08-24 08:20:52,86.0,3966092,4,991523,0.95,13704,3.46
2026-08-24 08:50:56,116.1,3966045,4,991511,0.95,7774,1.96
2026-08-24 08:56:58,122.1,3966316,4,991579,0.95,7474,1.88
2026-08-24 09:09:03,134.2,3966077,4,991519,0.95,4801,1.21
2026-08-24 09:22:04,147.2,3966084,4,991521,0.95,5273,1.33
2026-08-24 09:34:13,159.4,3966097,4,991524,0.95,3685,0.93
2026-08-24 09:48:40,173.8,3966100,4,991525,0.95,5905,1.49
2026-08-24 10:00:54,186.1,3966090,4,991522,0.95,4966,1.25
2026-08-24 10:13:05,198.2,3966063,4,991516,0.95,5605,1.41
2026-08-24 10:26:20,211.5,3966138,4,991534,0.95,6988,1.76
2026-08-24 10:38:31,223.7,3966097,4,991524,0.95,4490,1.13
2026-08-24 10:53:33,238.7,3966054,4,991514,0.95,6373,1.61
2026-08-24 11:05:36,250.8,3966057,4,991514,0.95,6572,1.66
2026-08-24 11:17:48,263.0,3966094,4,991524,0.95,5952,1.5
2026-08-24 11:31:09,276.3,3966094,4,991524,0.95,6912,1.74
2026-08-24 11:42:59,288.1,3966086,4,991522,0.95,5466,1.38
2026-08-24 11:58:40,303.8,3966117,4,991529,0.95,5676,1.43
2026-08-24 12:10:58,316.1,3966166,4,991542,0.95,6808,1.72
2026-08-24 12:23:20,328.5,3966068,4,991517,0.95,5440,1.37
2026-08-24 12:37:10,342.3,3966085,4,991521,0.95,5380,1.36
2026-08-24 12:49:32,354.7,3966100,4,991525,0.95,6605,1.67
2026-08-24 13:01:31,366.7,3966117,4,991529,0.95,7001,1.77
2026-08-24 13:13:48,379.0,3966082,4,991520,0.95,6601,1.66
2026-08-24 13:26:05,391.2,3966234,4,991558,0.95,7453,1.88
2026-08-24 13:38:29,403.6,3966069,4,991517,0.95,6325,1.59
2026-08-24 13:50:41,415.9,3966086,4,991522,0.95,6026,1.52
2026-08-24 14:02:56,428.1,3966131,4,991533,0.95,6492,1.64
2026-08-24 14:15:14,440.4,3966114,4,991528,0.95,6849,1.73
2026-08-24 14:27:29,452.6,3966294,4,991574,0.95,6454,1.63
2026-08-24 14:39:52,465.0,3966244,4,991561,0.95,8902,2.24
2026-08-24 14:52:10,477.3,3966084,4,991521,0.95,7024,1.77
2026-08-24 15:04:26,489.6,3966129,4,991532,0.95,6052,1.53
2026-08-24 15:16:53,502.1,3966140,4,991535,0.95,6774,1.71
2026-08-24 15:29:22,514.5,3966135,4,991534,0.95,6666,1.68
