ts,t_min,cells,gib,seconds,cells_per_s,mib_per_s,size_class
2026-08-24 07:29:18,34.5,4054781,18.519,325.4,12461,58.3,standard
2026-08-24 07:37:59,43.1,4025041,18.383,379.7,10600,49.6,standard
2026-08-24 07:46:03,51.2,3968733,18.126,379.6,10455,48.9,standard
2026-08-24 07:54:30,59.7,3967478,18.12,380.2,10436,48.8,standard
2026-08-24 08:03:15,68.4,3966227,18.114,396.2,10010,46.8,standard
2026-08-24 08:49:55,115.1,3966092,18.114,1774.8,2235,10.5,standard
2026-08-24 08:51:07,116.3,16016033,73.144,3224.4,4967,23.2,large
2026-08-24 08:57:18,122.5,3966045,18.114,390.4,10159,47.5,standard
2026-08-24 09:02:37,127.8,3966316,18.115,355.9,11143,52.1,standard
2026-08-24 09:14:36,139.8,3966077,18.114,339.1,11697,54.7,standard
2026-08-24 09:27:42,152.9,3966084,18.114,343.7,11538,54.0,standard
2026-08-24 09:40:01,165.2,3966097,18.114,352.2,11261,52.7,standard
2026-08-24 09:54:22,179.5,3966100,18.114,348.9,11368,53.2,standard
2026-08-24 10:06:33,191.7,3966090,18.114,345.5,11480,53.7,standard
2026-08-24 10:18:22,203.5,3966063,18.114,323.0,12278,57.4,standard
2026-08-24 10:32:00,217.2,3966138,18.114,348.4,11385,53.2,standard
2026-08-24 10:44:21,229.5,3966097,18.114,356.0,11139,52.1,standard
2026-08-24 10:59:19,244.5,3966054,18.114,353.6,11216,52.5,standard
2026-08-24 11:11:16,256.4,3966057,18.114,348.1,11395,53.3,standard
2026-08-24 11:23:15,268.4,3966094,18.114,333.4,11897,55.6,standard
2026-08-24 11:36:55,282.1,3966094,18.114,353.5,11219,52.5,standard
2026-08-24 11:48:48,294.0,3966086,18.114,354.7,11181,52.3,standard
2026-08-24 12:04:24,309.6,3966117,18.114,350.4,11318,52.9,standard
2026-08-24 12:16:57,322.1,3966166,18.114,366.8,10814,50.6,standard
2026-08-24 12:29:23,334.6,3966068,18.114,369.6,10732,50.2,standard
2026-08-24 12:42:48,348.0,3966085,18.114,344.1,11525,53.9,standard
2026-08-24 12:55:14,360.4,3966100,18.114,349.5,11349,53.1,standard
2026-08-24 13:07:08,372.3,3966117,18.114,345.0,11496,53.8,standard
2026-08-24 13:19:30,384.7,3966082,18.114,349.6,11346,53.1,standard
2026-08-24 13:32:02,397.2,3966234,18.114,365.4,10855,50.8,standard
2026-08-24 13:44:08,409.3,3966069,18.114,345.6,11475,53.7,standard
2026-08-24 13:56:16,421.4,3966086,18.114,341.6,11610,54.3,standard
2026-08-24 14:08:45,433.9,3966131,18.114,356.0,11141,52.1,standard
2026-08-24 14:20:57,446.1,3966114,18.114,350.7,11309,52.9,standard
2026-08-24 14:33:20,458.5,3966294,18.115,357.5,11095,51.9,standard
2026-08-24 14:45:39,470.8,3966244,18.114,356.3,11132,52.1,standard
2026-08-24 14:57:53,483.1,3966084,18.114,351.0,11300,52.8,standard
2026-08-24 15:10:28,495.6,3966129,18.114,369.6,10732,50.2,standard
2026-08-24 15:22:55,508.1,3966140,18.114,369.9,10721,50.1,standard
2026-08-24 15:35:09,520.3,3966135,18.114,354.0,11204,52.4,standard
