metric,cycle1_frontier3_hooks_dead,cycle3_frontier3_hooks_live,cycle4_frontier32_hooks_live,cycle3_vs_cycle1,cycle4_vs_cycle3
time_to_collapse,9h25m (populated start),9h31m (empty start),pending,~same,pending
collapse_merge_batches,30985,30985,pending,identical,pending
collapse_merge_rate_b_per_min,39-44,60-74,pending,+70-90%,pending
implied_merge_hours,13,7.0,pending,-46%,pending
iowait_pct_at_collapse,50.1,40.3-41.1,pending,-19%,pending
md0_mean_request_KB,4.02,6.31-6.38,pending,+57%,pending
md0_reads_per_s,113k-177k,234k-264k,pending,+49-107%,pending
md0_util_pct,99.0-99.4,93.8-98.3,pending,~same,pending
standard_segment_cells_per_s_n39,n/a,13538,11219,n/a,-17.1%
large_16M_segment_cells_per_s,n/a,8242,4967,n/a,-39.7%
merge_30996_b_per_min,n/a,4131,2110,n/a,-48.9%
pretouch_1_window_us_per_ordinal,n/a,0.66-1.57,0.67-1.48,n/a,parity
pretouch_3.8_window_us_per_ordinal,n/a,3.24-4.57,4.21,n/a,parity
cumulative_cells_at_equal_wallclock,n/a,baseline,+0.00%,n/a,identical
