date,ts,total_batches,reached,pct,minutes,batches_per_min,size_class,regime
2026-08-21,2026-08-21 20:14:35,7747,7740,99.9,0.8,9094,mid 5k-25k,healthy
2026-08-21,2026-08-21 20:15:28,7977,7970,99.9,0.7,11649,mid 5k-25k,healthy
2026-08-21,2026-08-21 20:22:05,7747,7740,99.9,1.1,6922,mid 5k-25k,healthy
2026-08-21,2026-08-21 20:23:15,7747,7740,99.9,0.7,10786,mid 5k-25k,healthy
2026-08-21,2026-08-21 20:29:56,7747,7740,99.9,1.1,6821,mid 5k-25k,healthy
2026-08-21,2026-08-21 20:31:07,7747,7740,99.9,0.8,10083,mid 5k-25k,healthy
2026-08-21,2026-08-21 20:37:49,7747,7740,99.9,1.2,6626,mid 5k-25k,healthy
2026-08-21,2026-08-21 20:39:02,7747,7740,99.9,0.8,9662,mid 5k-25k,healthy
2026-08-21,2026-08-21 20:39:56,7748,7740,99.9,0.6,14055,mid 5k-25k,healthy
2026-08-21,2026-08-21 20:46:30,7747,7740,99.9,1.6,4831,mid 5k-25k,healthy
2026-08-21,2026-08-21 20:48:09,7747,7740,99.9,1.1,7362,mid 5k-25k,healthy
2026-08-21,2026-08-21 20:50:48,30996,30990,100.0,5.8,5388,large>=25k,healthy
2026-08-21,2026-08-21 20:56:42,30998,30990,100.0,3.9,7944,large>=25k,healthy
2026-08-21,2026-08-21 21:00:56,31216,31210,100.0,2.8,11345,large>=25k,healthy
2026-08-21,2026-08-21 21:03:51,31678,31670,100.0,1.1,27530,large>=25k,healthy
2026-08-21,2026-08-21 21:05:01,3903,3890,99.7,0.7,5414,small<5k,healthy
2026-08-21,2026-08-21 21:08:33,7747,7740,99.9,1.1,6922,mid 5k-25k,healthy
2026-08-21,2026-08-21 21:09:44,7747,7740,99.9,0.8,9662,mid 5k-25k,healthy
2026-08-21,2026-08-21 21:17:03,7747,7740,99.9,1.2,6626,mid 5k-25k,healthy
2026-08-21,2026-08-21 21:18:16,7747,7740,99.9,0.7,10541,mid 5k-25k,healthy
2026-08-21,2026-08-21 21:25:22,7747,7740,99.9,0.9,8589,mid 5k-25k,healthy
2026-08-21,2026-08-21 21:26:18,7747,7740,99.9,0.6,12205,mid 5k-25k,healthy
2026-08-21,2026-08-21 21:36:31,7747,7740,99.9,0.9,8589,mid 5k-25k,healthy
2026-08-21,2026-08-21 21:37:27,7747,7740,99.9,0.6,12205,mid 5k-25k,healthy
2026-08-21,2026-08-21 21:48:27,7747,7740,99.9,0.9,8433,mid 5k-25k,healthy
2026-08-21,2026-08-21 21:49:24,7747,7740,99.9,0.8,9662,mid 5k-25k,healthy
2026-08-21,2026-08-21 21:59:50,7747,7740,99.9,0.9,8137,mid 5k-25k,healthy
2026-08-21,2026-08-21 22:00:50,7747,7740,99.9,0.6,12205,mid 5k-25k,healthy
2026-08-21,2026-08-21 22:11:55,7747,7740,99.9,0.9,8137,mid 5k-25k,healthy
2026-08-21,2026-08-21 22:12:54,7747,7740,99.9,0.7,11595,mid 5k-25k,healthy
2026-08-21,2026-08-21 22:23:26,7747,7740,99.9,0.9,8433,mid 5k-25k,healthy
2026-08-21,2026-08-21 22:24:23,7747,7740,99.9,0.7,11892,mid 5k-25k,healthy
2026-08-21,2026-08-21 22:34:29,7747,7740,99.9,0.9,8282,mid 5k-25k,healthy
2026-08-21,2026-08-21 22:35:28,7747,7740,99.9,0.8,9868,mid 5k-25k,healthy
2026-08-21,2026-08-21 22:36:20,7747,7730,99.8,0.5,14475,mid 5k-25k,healthy
2026-08-21,2026-08-21 22:46:54,7747,7740,99.9,0.9,8589,mid 5k-25k,healthy
2026-08-21,2026-08-21 22:47:50,7747,7740,99.9,0.6,12883,mid 5k-25k,healthy
2026-08-21,2026-08-21 22:58:15,7747,7740,99.9,0.9,8589,mid 5k-25k,healthy
2026-08-21,2026-08-21 22:59:12,7747,7740,99.9,0.6,12883,mid 5k-25k,healthy
2026-08-21,2026-08-21 23:11:52,7747,7740,99.9,1.1,6821,mid 5k-25k,healthy
2026-08-21,2026-08-21 23:13:03,7747,7740,99.9,0.9,8919,mid 5k-25k,healthy
2026-08-21,2026-08-21 23:22:50,7747,7740,99.9,0.9,8282,mid 5k-25k,healthy
2026-08-21,2026-08-21 23:23:48,7747,7740,99.9,0.6,12883,mid 5k-25k,healthy
2026-08-21,2026-08-21 23:33:35,7747,7740,99.9,0.8,9094,mid 5k-25k,healthy
2026-08-21,2026-08-21 23:34:29,7747,7740,99.9,0.8,10083,mid 5k-25k,healthy
2026-08-21,2026-08-21 23:46:21,7747,7740,99.9,1.0,7481,mid 5k-25k,healthy
2026-08-21,2026-08-21 23:47:29,7747,7740,99.9,0.7,11312,mid 5k-25k,healthy
2026-08-21,2026-08-21 23:58:08,7747,7740,99.9,1.0,7603,mid 5k-25k,healthy
2026-08-21,2026-08-21 23:59:13,7747,7740,99.9,0.8,10307,mid 5k-25k,healthy
2026-08-22,2026-08-22 00:12:57,7747,7740,99.9,1.0,7603,mid 5k-25k,healthy
2026-08-22,2026-08-22 00:14:01,7747,7740,99.9,0.7,11892,mid 5k-25k,healthy
2026-08-22,2026-08-22 00:24:03,7747,7740,99.9,1.0,7861,mid 5k-25k,healthy
2026-08-22,2026-08-22 00:25:05,7747,7740,99.9,0.7,10541,mid 5k-25k,healthy
2026-08-22,2026-08-22 00:36:08,7747,7740,99.9,1.1,7362,mid 5k-25k,healthy
2026-08-22,2026-08-22 00:37:14,7747,7740,99.9,0.8,9276,mid 5k-25k,healthy
2026-08-22,2026-08-22 00:38:09,7747,7740,99.9,0.5,14494,mid 5k-25k,healthy
2026-08-22,2026-08-22 00:49:42,7747,7740,99.9,1.0,7861,mid 5k-25k,healthy
2026-08-22,2026-08-22 00:50:44,7747,7740,99.9,0.7,11892,mid 5k-25k,healthy
2026-08-22,2026-08-22 01:01:21,7747,7740,99.9,1.2,6626,mid 5k-25k,healthy
2026-08-22,2026-08-22 01:02:35,7747,7740,99.9,0.7,11892,mid 5k-25k,healthy
2026-08-22,2026-08-22 01:13:14,7747,7740,99.9,1.1,7362,mid 5k-25k,healthy
2026-08-22,2026-08-22 01:14:19,7747,7740,99.9,0.7,11595,mid 5k-25k,healthy
2026-08-22,2026-08-22 01:25:05,7747,7740,99.9,1.1,7362,mid 5k-25k,healthy
2026-08-22,2026-08-22 01:26:11,7747,7740,99.9,0.8,9662,mid 5k-25k,healthy
2026-08-22,2026-08-22 01:27:05,7747,7740,99.9,0.7,11312,mid 5k-25k,healthy
2026-08-22,2026-08-22 01:37:14,7747,7740,99.9,1.2,6353,mid 5k-25k,healthy
2026-08-22,2026-08-22 01:38:32,7747,7740,99.9,0.9,8433,mid 5k-25k,healthy
2026-08-22,2026-08-22 01:49:26,7747,7740,99.9,1.2,6184,mid 5k-25k,healthy
2026-08-22,2026-08-22 01:50:46,7747,7740,99.9,0.9,8919,mid 5k-25k,healthy
2026-08-22,2026-08-22 02:01:32,7747,7740,99.9,1.6,4781,mid 5k-25k,healthy
2026-08-22,2026-08-22 02:03:16,7747,7740,99.9,1.0,7861,mid 5k-25k,healthy
2026-08-22,2026-08-22 02:04:20,7747,7730,99.8,0.6,13234,mid 5k-25k,healthy
2026-08-22,2026-08-22 02:14:01,7747,7740,99.9,2.3,3361,mid 5k-25k,healthy
2026-08-22,2026-08-22 02:16:32,7747,7740,99.9,1.1,7135,mid 5k-25k,healthy
2026-08-22,2026-08-22 02:17:46,7747,7740,99.9,0.8,9868,mid 5k-25k,healthy
2026-08-22,2026-08-22 02:18:35,7747,7740,99.9,0.6,12205,mid 5k-25k,healthy
2026-08-22,2026-08-22 02:27:13,7747,7740,99.9,4.5,1731,mid 5k-25k,healthy
2026-08-22,2026-08-22 02:32:17,7747,7740,99.9,4.0,1932,mid 5k-25k,healthy
2026-08-22,2026-08-22 02:36:53,7747,7740,99.9,2.9,2666,mid 5k-25k,healthy
2026-08-22,2026-08-22 02:39:56,7747,7740,99.9,1.1,7135,mid 5k-25k,healthy
2026-08-22,2026-08-22 02:44:00,7747,7740,99.9,9.4,818,mid 5k-25k,healthy
2026-08-22,2026-08-22 02:54:02,7747,7740,99.9,11.4,675,mid 5k-25k,healthy
2026-08-22,2026-08-22 03:05:43,7747,7740,99.9,0.6,13641,mid 5k-25k,healthy
2026-08-22,2026-08-22 03:10:00,7747,7740,99.9,1.2,6268,mid 5k-25k,healthy
2026-08-22,2026-08-22 03:11:22,7747,7740,99.9,0.9,8137,mid 5k-25k,healthy
2026-08-22,2026-08-22 03:18:59,7747,7740,99.9,1.0,7481,mid 5k-25k,healthy
2026-08-22,2026-08-22 03:20:04,7747,7740,99.9,0.9,8137,mid 5k-25k,healthy
2026-08-22,2026-08-22 03:31:02,7747,7740,99.9,1.3,5798,mid 5k-25k,healthy
2026-08-22,2026-08-22 03:32:26,7747,7740,99.9,1.1,7362,mid 5k-25k,healthy
2026-08-22,2026-08-22 03:33:38,7747,7740,99.9,0.6,12535,mid 5k-25k,healthy
2026-08-22,2026-08-22 03:43:24,7747,7740,99.9,2.7,2899,mid 5k-25k,healthy
