date,ts,ordinals,sources,ms,us_per_ordinal
2026-08-23,2026-08-23 20:07:03,4084155,4,2688,0.66
2026-08-23,2026-08-23 20:13:37,3995750,4,2582,0.65
2026-08-23,2026-08-23 20:21:41,3966265,4,2649,0.67
2026-08-23,2026-08-23 20:29:35,3967414,4,2727,0.69
2026-08-23,2026-08-23 20:38:32,3966109,4,11361,2.86
2026-08-23,2026-08-23 20:38:51,16013399,4,73086,4.56
2026-08-23,2026-08-23 21:12:21,3966157,4,5772,1.46
2026-08-23,2026-08-23 21:20:41,3966482,4,2955,0.74
2026-08-23,2026-08-23 21:29:13,3967227,4,3022,0.76
2026-08-23,2026-08-23 21:59:27,3966049,4,5254,1.32
2026-08-23,2026-08-23 22:15:36,3966103,4,5984,1.51
2026-08-23,2026-08-23 22:29:20,3966114,4,5712,1.44
2026-08-23,2026-08-23 22:41:03,3966070,4,5163,1.3
2026-08-23,2026-08-23 22:52:22,3966109,4,7927,2.0
2026-08-23,2026-08-23 23:04:55,3966152,4,4249,1.07
2026-08-23,2026-08-23 23:16:38,3966071,4,4183,1.05
2026-08-23,2026-08-23 23:31:03,3966118,4,6130,1.55
2026-08-23,2026-08-23 23:42:44,3966140,4,4723,1.19
2026-08-23,2026-08-23 23:54:19,3966132,4,4504,1.14
2026-08-24,2026-08-24 00:07:12,3966147,4,5582,1.41
2026-08-24,2026-08-24 00:18:55,3966123,4,9966,2.51
2026-08-24,2026-08-24 00:33:56,3966105,4,5846,1.47
2026-08-24,2026-08-24 00:45:39,3966147,4,5396,1.36
2026-08-24,2026-08-24 00:57:21,3966109,4,6778,1.71
2026-08-24,2026-08-24 01:10:32,3966096,4,6697,1.69
2026-08-24,2026-08-24 01:22:26,3966086,4,6769,1.71
2026-08-24,2026-08-24 01:34:09,3966071,4,6431,1.62
2026-08-24,2026-08-24 01:46:15,3966125,4,6791,1.71
2026-08-24,2026-08-24 01:58:08,3966113,4,7866,1.98
2026-08-24,2026-08-24 02:10:21,3966101,4,6548,1.65
2026-08-24,2026-08-24 02:22:29,3966115,4,5663,1.43
2026-08-24,2026-08-24 02:34:44,3966094,4,6996,1.76
2026-08-24,2026-08-24 02:48:37,3966079,4,7960,2.01
2026-08-24,2026-08-24 03:01:26,3966118,4,9822,2.48
2026-08-24,2026-08-24 03:15:49,3966108,4,9933,2.5
2026-08-24,2026-08-24 03:30:07,3966069,4,6952,1.75
2026-08-24,2026-08-24 03:45:52,3966108,4,8409,2.12
2026-08-24,2026-08-24 04:01:02,3966046,4,8261,2.08
2026-08-24,2026-08-24 04:12:57,3966074,4,6426,1.62
2026-08-24,2026-08-24 04:30:51,3966070,4,7263,1.83
2026-08-24,2026-08-24 04:38:28,126916949,32,410926,3.24
2026-08-24,2026-08-24 07:23:57,4054781,4,2747,0.68
2026-08-24,2026-08-24 07:31:42,4025041,4,2584,0.64
2026-08-24,2026-08-24 07:39:47,3968733,4,2862,0.72
2026-08-24,2026-08-24 07:48:14,3967478,4,2738,0.69
2026-08-24,2026-08-24 07:56:43,3966227,4,2749,0.69
2026-08-24,2026-08-24 07:58:34,16016033,4,67368,4.21
2026-08-24,2026-08-24 08:20:52,3966092,4,13704,3.46
2026-08-24,2026-08-24 08:50:56,3966045,4,7774,1.96
2026-08-24,2026-08-24 08:56:58,3966316,4,7474,1.88
2026-08-24,2026-08-24 09:09:03,3966077,4,4801,1.21
2026-08-24,2026-08-24 09:22:04,3966084,4,5273,1.33
2026-08-24,2026-08-24 09:34:13,3966097,4,3685,0.93
2026-08-24,2026-08-24 09:48:40,3966100,4,5905,1.49
2026-08-24,2026-08-24 10:00:54,3966090,4,4966,1.25
2026-08-24,2026-08-24 10:13:05,3966063,4,5605,1.41
2026-08-24,2026-08-24 10:26:20,3966138,4,6988,1.76
2026-08-24,2026-08-24 10:38:31,3966097,4,4490,1.13
2026-08-24,2026-08-24 10:53:33,3966054,4,6373,1.61
2026-08-24,2026-08-24 11:05:36,3966057,4,6572,1.66
2026-08-24,2026-08-24 11:17:48,3966094,4,5952,1.5
2026-08-24,2026-08-24 11:31:09,3966094,4,6912,1.74
2026-08-24,2026-08-24 11:42:59,3966086,4,5466,1.38
2026-08-24,2026-08-24 11:58:40,3966117,4,5676,1.43
2026-08-24,2026-08-24 12:10:58,3966166,4,6808,1.72
2026-08-24,2026-08-24 12:23:20,3966068,4,5440,1.37
2026-08-24,2026-08-24 12:37:10,3966085,4,5380,1.36
2026-08-24,2026-08-24 12:49:32,3966100,4,6605,1.67
2026-08-24,2026-08-24 13:01:31,3966117,4,7001,1.77
2026-08-24,2026-08-24 13:13:48,3966082,4,6601,1.66
2026-08-24,2026-08-24 13:26:05,3966234,4,7453,1.88
2026-08-24,2026-08-24 13:38:29,3966069,4,6325,1.59
2026-08-24,2026-08-24 13:50:41,3966086,4,6026,1.52
2026-08-24,2026-08-24 14:02:56,3966131,4,6492,1.64
2026-08-24,2026-08-24 14:15:14,3966114,4,6849,1.73
2026-08-24,2026-08-24 14:27:29,3966294,4,6454,1.63
2026-08-24,2026-08-24 14:39:52,3966244,4,8902,2.24
2026-08-24,2026-08-24 14:52:10,3966084,4,7024,1.77
2026-08-24,2026-08-24 15:04:26,3966129,4,6052,1.53
2026-08-24,2026-08-24 15:16:53,3966140,4,6774,1.71
2026-08-24,2026-08-24 15:29:22,3966135,4,6666,1.68
2026-08-24,2026-08-24 15:47:22,3966041,4,7505,1.89
