boot,cassandra_version,jvector_flags,sai_flag_count,vector_feature_flags
2026-08-21 19:47:24,,experimental.enable_native_vectorization=true mode=production,13,
2026-08-21 19:47:25,4.0.11.0-SNAPSHOT,,0,
2026-08-21 19:48:55,,,0,"amortize_pq_encoding=true, serialize_flush_pq=false, flush_refine_final_graph=false, compaction_retain_largest=true"
2026-08-23 03:36:00,,experimental.enable_native_vectorization=true mode=production,13,
2026-08-23 03:36:01,4.0.11.0-SNAPSHOT,,0,
2026-08-23 03:38:28,,,0,"amortize_pq_encoding=true, serialize_flush_pq=false, flush_refine_final_graph=false, compaction_retain_largest=true"
2026-08-23 14:48:28,,compaction.sourcePretouchMaxNodes=-1 compaction.sourcePretouchWindowNodes=1048576 experimental.enable_native_vectorization=true mode=production,13,
2026-08-23 14:48:29,4.0.11.0-SNAPSHOT,,0,
2026-08-23 14:49:53,,,0,"amortize_pq_encoding=true, serialize_flush_pq=false, flush_refine_final_graph=false, compaction_retain_largest=true"
2026-08-23 19:35:08,,compaction.sourcePretouchMaxNodes=-1 compaction.sourcePretouchWindowNodes=1048576 experimental.enable_native_vectorization=true mode=production,13,
2026-08-23 19:35:09,4.0.11.0-SNAPSHOT,,0,
2026-08-23 19:35:37,,,0,"amortize_pq_encoding=true, serialize_flush_pq=false, flush_refine_final_graph=false, compaction_retain_largest=true"
2026-08-24 06:54:02,,compaction.frontierPrefetch=32 compaction.sourcePretouchMaxNodes=-1 compaction.sourcePretouchWindowNodes=1048576 experimental.enable_native_vectorization=true mode=production,13,
2026-08-24 06:54:04,4.0.11.0-SNAPSHOT,,0,
2026-08-24 06:54:53,,,0,"amortize_pq_encoding=true, serialize_flush_pq=false, flush_refine_final_graph=false, compaction_retain_largest=true"
